"x","y","month","Population","dengue_cases","chik_cases","dengue_cases_confirmed","chik_cases_confirmed","release_zone","nb_trap_collections","aegypti_captured","wmel_aegypti_captured","wmel_pctg"
680293.459172921,7475343.1164987,2010-01-01,27.2460823357105,0,NA,0,NA,"RJ2",0,NA,NA,NA
680293.459172921,7475843.1164987,2010-01-01,25.0486640632153,0,NA,0,NA,"RJ2",0,NA,NA,NA
680293.459172921,7476343.1164987,2010-01-01,47.3597962856293,0,NA,0,NA,"RJ2",0,NA,NA,NA
680293.459172921,7476843.1164987,2010-01-01,105.387971803546,0,NA,0,NA,"RJ2",0,NA,NA,NA
680293.459172921,7477343.1164987,2010-01-01,39.9781392216682,0,NA,0,NA,"RJ2",0,NA,NA,NA
680293.459172921,7477843.1164987,2010-01-01,22.0555273219943,0,NA,0,NA,"RJ2",0,NA,NA,NA
680793.459172921,7473843.1164987,2010-01-01,10.1516602039337,0,NA,0,NA,"RJ2",0,NA,NA,NA
680793.459172921,7474343.1164987,2010-01-01,31.9036664664745,0,NA,0,NA,"RJ2",0,NA,NA,NA
680793.459172921,7474843.1164987,2010-01-01,28.1164900064468,0,NA,0,NA,"RJ2",0,NA,NA,NA
680793.459172921,7475343.1164987,2010-01-01,25.9921916723251,0,NA,0,NA,"RJ2",0,NA,NA,NA
680793.459172921,7475843.1164987,2010-01-01,877.757244765759,0,NA,0,NA,"RJ2",0,NA,NA,NA
680793.459172921,7476343.1164987,2010-01-01,458.460547357798,0,NA,0,NA,"RJ2",0,NA,NA,NA
680793.459172921,7476843.1164987,2010-01-01,185.951779961586,0,NA,0,NA,"RJ2",0,NA,NA,NA
680793.459172921,7477343.1164987,2010-01-01,47.9263532757759,0,NA,0,NA,"RJ2",0,NA,NA,NA
680793.459172921,7477843.1164987,2010-01-01,32.5243275761604,0,NA,0,NA,"RJ2",0,NA,NA,NA
680793.459172921,7478343.1164987,2010-01-01,16.3350046575069,0,NA,0,NA,"RJ2",0,NA,NA,NA
681293.459172921,7474843.1164987,2010-01-01,29.1205111443996,0,NA,0,NA,"RJ2",0,NA,NA,NA
681293.459172921,7475343.1164987,2010-01-01,54.9181661605835,0,NA,0,NA,"RJ2",0,NA,NA,NA
681293.459172921,7475843.1164987,2010-01-01,3178.71884250641,0,NA,0,NA,"RJ2",0,NA,NA,NA
681293.459172921,7476343.1164987,2010-01-01,664.613638877869,0,NA,0,NA,"RJ2",0,NA,NA,NA
681293.459172921,7476843.1164987,2010-01-01,208.674666523933,0,NA,0,NA,"RJ2",0,NA,NA,NA
681293.459172921,7477343.1164987,2010-01-01,43.9548678100109,0,NA,0,NA,"RJ2",0,NA,NA,NA
681293.459172921,7477843.1164987,2010-01-01,47.9208379685879,0,NA,0,NA,"RJ2",0,NA,NA,NA
681293.459172921,7478343.1164987,2010-01-01,16.4663078784943,0,NA,0,NA,"RJ2",0,NA,NA,NA
681793.459172921,7469843.1164987,2010-01-01,115.299315571785,0,NA,0,NA,"RJ2",0,NA,NA,NA
681793.459172921,7475343.1164987,2010-01-01,543.974198997021,0,NA,0,NA,"RJ2",0,NA,NA,NA
681793.459172921,7475843.1164987,2010-01-01,8047.98066616058,0,NA,0,NA,"RJ2",0,NA,NA,NA
681793.459172921,7476343.1164987,2010-01-01,3249.8574256897,0,NA,0,NA,"RJ2",0,NA,NA,NA
681793.459172921,7476843.1164987,2010-01-01,107.998717904091,0,NA,0,NA,"RJ2",0,NA,NA,NA
681793.459172921,7477343.1164987,2010-01-01,57.5475853681564,0,NA,0,NA,"RJ2",0,NA,NA,NA
681793.459172921,7477843.1164987,2010-01-01,44.168190151453,0,NA,0,NA,"RJ2",0,NA,NA,NA
681793.459172921,7478343.1164987,2010-01-01,88.5771845579147,0,NA,0,NA,"RJ2",0,NA,NA,NA
681793.459172921,7478843.1164987,2010-01-01,824.337100684643,0,NA,0,NA,"RJ2",0,NA,NA,NA
681793.459172921,7479343.1164987,2010-01-01,812.450733184814,0,NA,0,NA,"RJ2",0,NA,NA,NA
682293.459172921,7475343.1164987,2010-01-01,266.649519443512,0,NA,0,NA,"RJ2",0,NA,NA,NA
682293.459172921,7475843.1164987,2010-01-01,500.793902397156,0,NA,0,NA,"RJ2",0,NA,NA,NA
682293.459172921,7476343.1164987,2010-01-01,1209.33263355494,0,NA,0,NA,"RJ2",0,NA,NA,NA
682293.459172921,7476843.1164987,2010-01-01,248.735781133175,0,NA,0,NA,"RJ2",0,NA,NA,NA
682293.459172921,7477343.1164987,2010-01-01,50.3952983617783,0,NA,0,NA,"RJ2",0,NA,NA,NA
682293.459172921,7477843.1164987,2010-01-01,62.1795437932014,0,NA,0,NA,"RJ2",0,NA,NA,NA
682293.459172921,7478343.1164987,2010-01-01,38.2035939693451,0,NA,0,NA,"RJ2",0,NA,NA,NA
682293.459172921,7478843.1164987,2010-01-01,318.620897293091,0,NA,0,NA,"RJ2",0,NA,NA,NA
682293.459172921,7479343.1164987,2010-01-01,413.361871123314,0,NA,0,NA,"RJ2",0,NA,NA,NA
682793.459172921,7469343.1164987,2010-01-01,1398.75727832317,0,NA,0,NA,"RJ2",0,NA,NA,NA
682793.459172921,7469843.1164987,2010-01-01,1365.49416388944,0,NA,0,NA,"RJ2",0,NA,NA,NA
682793.459172921,7470843.1164987,2010-01-01,102.641946034506,0,NA,0,NA,"RJ2",0,NA,NA,NA
682793.459172921,7475343.1164987,2010-01-01,48.3495591878891,0,NA,0,NA,"RJ2",0,NA,NA,NA
682793.459172921,7475843.1164987,2010-01-01,223.342094898224,0,NA,0,NA,"RJ2",0,NA,NA,NA
682793.459172921,7476343.1164987,2010-01-01,100.79231800139,0,NA,0,NA,"RJ2",0,NA,NA,NA
682793.459172921,7476843.1164987,2010-01-01,14.5799208804965,0,NA,0,NA,"RJ2",0,NA,NA,NA
682793.459172921,7477343.1164987,2010-01-01,31.2244870513678,0,NA,0,NA,"RJ2",0,NA,NA,NA
682793.459172921,7477843.1164987,2010-01-01,58.5363863110542,0,NA,0,NA,"RJ2",0,NA,NA,NA
682793.459172921,7478343.1164987,2010-01-01,36.9768311083317,0,NA,0,NA,"RJ2",0,NA,NA,NA
682793.459172921,7478843.1164987,2010-01-01,40.5892299413681,0,NA,0,NA,"RJ2",0,NA,NA,NA
683293.459172921,7469843.1164987,2010-01-01,26.6192122455686,0,NA,0,NA,"RJ2",0,NA,NA,NA
683293.459172921,7470843.1164987,2010-01-01,53.2375270742923,0,NA,0,NA,"RJ2",0,NA,NA,NA
683293.459172921,7475843.1164987,2010-01-01,1337.01738929749,0,NA,0,NA,"RJ2",0,NA,NA,NA
683293.459172921,7476343.1164987,2010-01-01,1418.99606823921,0,NA,0,NA,"RJ2",0,NA,NA,NA
683293.459172921,7476843.1164987,2010-01-01,477.548560157418,0,NA,0,NA,"RJ2",0,NA,NA,NA
683293.459172921,7477343.1164987,2010-01-01,46.1242150366306,0,NA,0,NA,"RJ2",0,NA,NA,NA
683293.459172921,7477843.1164987,2010-01-01,89.2141625881195,0,NA,0,NA,"RJ2",0,NA,NA,NA
683293.459172921,7478343.1164987,2010-01-01,37.4678339958191,0,NA,0,NA,"RJ2",0,NA,NA,NA
683293.459172921,7478843.1164987,2010-01-01,19.1998011469841,0,NA,0,NA,"RJ2",0,NA,NA,NA
683793.459172921,7470843.1164987,2010-01-01,29.422741481103,0,NA,0,NA,"RJ2",0,NA,NA,NA
683793.459172921,7475343.1164987,2010-01-01,145.878705978394,0,NA,0,NA,"RJ2",0,NA,NA,NA
683793.459172921,7475843.1164987,2010-01-01,1305.95498561859,1,NA,1,NA,"RJ2",0,NA,NA,NA
683793.459172921,7476343.1164987,2010-01-01,3706.49206161499,0,NA,0,NA,"RJ2",0,NA,NA,NA
683793.459172921,7476843.1164987,2010-01-01,2736.12800788879,0,NA,0,NA,"RJ2",0,NA,NA,NA
683793.459172921,7477343.1164987,2010-01-01,3535.09114646912,0,NA,0,NA,"RJ2",0,NA,NA,NA
683793.459172921,7477843.1164987,2010-01-01,7119.13152813911,0,NA,0,NA,"RJ2",0,NA,NA,NA
683793.459172921,7478343.1164987,2010-01-01,2979.13319355249,0,NA,0,NA,"RJ2",0,NA,NA,NA
684293.459172921,7475343.1164987,2010-01-01,1191.95238256454,0,NA,0,NA,"RJ2",0,NA,NA,NA
684293.459172921,7475843.1164987,2010-01-01,3464.16784858704,0,NA,0,NA,"RJ2",0,NA,NA,NA
684293.459172921,7476343.1164987,2010-01-01,2430.24695968628,0,NA,0,NA,"RJ2",0,NA,NA,NA
684293.459172921,7476843.1164987,2010-01-01,2323.33672714233,0,NA,0,NA,"RJ2",0,NA,NA,NA
684293.459172921,7477343.1164987,2010-01-01,4607.2776222229,0,NA,0,NA,"RJ2",0,NA,NA,NA
684793.459172921,7475343.1164987,2010-01-01,1293.05077362061,0,NA,0,NA,"RJ2",0,NA,NA,NA
684793.459172921,7475843.1164987,2010-01-01,2248.57349777222,0,NA,0,NA,"RJ2",0,NA,NA,NA
684793.459172921,7476343.1164987,2010-01-01,2799.33269500732,0,NA,0,NA,"RJ2",0,NA,NA,NA
684793.459172921,7476843.1164987,2010-01-01,2355.5463848114,0,NA,0,NA,"RJ2",0,NA,NA,NA
685293.459172921,7475843.1164987,2010-01-01,2812.0922088623,0,NA,0,NA,"RJ2",0,NA,NA,NA
685293.459172921,7476343.1164987,2010-01-01,3063.12372970581,1,NA,1,NA,"RJ2",0,NA,NA,NA
685293.459172921,7476843.1164987,2010-01-01,4490.00590896606,0,NA,0,NA,"RJ2",0,NA,NA,NA
685793.459172921,7476343.1164987,2010-01-01,3859.77778244019,0,NA,0,NA,"RJ2",0,NA,NA,NA
672293.459172921,7473843.1164987,2010-01-01,2962.40071725845,0,NA,0,NA,"RJ3.1",0,NA,NA,NA
672793.459172921,7473343.1164987,2010-01-01,5592.36783218384,0,NA,0,NA,"RJ3.1",0,NA,NA,NA
672793.459172921,7473843.1164987,2010-01-01,3903.91034698486,0,NA,0,NA,"RJ3.1",0,NA,NA,NA
673293.459172921,7473343.1164987,2010-01-01,5374.64010620117,0,NA,0,NA,"RJ3.1",0,NA,NA,NA
673293.459172921,7473843.1164987,2010-01-01,3708.07527923584,0,NA,0,NA,"RJ3.1",0,NA,NA,NA
673793.459172921,7472343.1164987,2010-01-01,6593.56132507324,0,NA,0,NA,"RJ3.1",0,NA,NA,NA
673793.459172921,7472843.1164987,2010-01-01,3799.62174987793,1,NA,0,NA,"RJ3.1",0,NA,NA,NA
673793.459172921,7473343.1164987,2010-01-01,4961.77671813965,0,NA,0,NA,"RJ3.1",0,NA,NA,NA
673793.459172921,7473843.1164987,2010-01-01,3222.95755767822,0,NA,0,NA,"RJ3.1",0,NA,NA,NA
